address	assembly_behavior	target_unit	implementation_symbol	current_status	test_or_follow_up
0x0048A740	OS/CRT process entry, environment setup, call WinMain, forward its result to process exit	external_crt;platform_sdl3	C++ hosted runtime;SDL main boundary	external_boundary_platform_adapted	do not copy static CRT internals; Windows LLVM and real SDL3 smoke verified SDL main entry and zero return propagation through the hosted runtime
0x00409EC0	process setup, two early exits, window/message loop, two independent RNG seeds	app;platform_sdl3	run_process_startup_gates;SingleInstanceGuard;reconstruct_legacy_command_line_tail;run_nonempty_command_line_path;seed_two_rng_streams;run_idle_iteration;translate_sdl_event;dispatch_host_window_event	implemented_with_deferred_ports	replace command and RNG smoke ports in their owning modules; original differential remains blocked_runtime_oracle
0x0040A0D0	text-input filter and exact Win32 message dispatch	app;platform_sdl3	run_startup_custom_message;run_window_message_prefix;select_size_display_transition;select_activation_display_transition;select_system_enter_display_transition;should_intercept_system_command;handle_key_release;handle_left_button_down;capture_legacy_screenshot;handle_window_destroy;dispatch_host_window_event;translate_sdl_event	implemented_with_deferred_ports	connect BMP writer in render and text-input port in B3; host default dispatch is platform_adapted
0x0040A570	frame entry, time/input preparation, exclusive branch dispatch and common tail	app;platform_sdl3	run_frame_preparation;run_accepted_frame;select_frame_entry_action;SdlSmokeIdlePorts::step_game_frame	implemented_with_deferred_ports	accepted SDL frames enter both B1 phases; connect owning-module handlers and SDL input ports later; original differential remains blocked_runtime_oracle
0x0040AB50	display deactivation/reactivation order	app;platform_sdl3	deactivate_display;reactivate_display	implemented	Windows LLVM CTest passed; original differential remains blocked_runtime_oracle
0x00411C90	null/empty command-line test; nonempty path consumes first byte and remainder then exits normal startup	app;platform_sdl3	run_nonempty_command_line_path	implemented	app.command_line passed with Windows LLVM
0x00411F90	return EAX zero	compat	legacy_zero_result	implemented	compat.legacy_stubs passed with Windows LLVM
0x00424440	startup modal dialog procedure, numeric result and auxiliary controls	platform_sdl3;app	initialize_startup_dialog;select_startup_dialog_command;startup_dialog_close_action;update_startup_dialog_pointer;execute_startup_dialog_action;SdlStartupDialog	implemented_with_deferred_ports	connect hover audio, save scan and auxiliary text UI in their owning modules; Windows LLVM and real SDL3 window smoke passed
0x00424910	call total initialization with global window then return one	app;platform_sdl3	run_initialization_dialog_wrapper;SdlSmokeStartupPorts::initialize_game	implemented	connected to SDL startup results 1/2; app.initialization passed with Windows LLVM
0x00424930	open URL through legacy registry command construction and WinExec	platform_sdl3;app	open_url_with_legacy_result;SdlExternalLaunchPorts::open_url;make_legacy_http_uri	implemented	caller-visible zero result and explicit http URI implemented; Windows LLVM CTest passed
0x00424A60	open Readme path through legacy registry command construction and WinExec	platform_sdl3;app	open_document_with_legacy_result;SdlExternalLaunchPorts::open_document;make_absolute_file_uri	implemented	absolute percent-encoded file URI implemented; Windows LLVM CTest passed
0x00424B90	total initialization with ignored platform result and two stopping failures	app;platform_sdl3	run_total_initialization;SdlSmokeInitializationPorts	implemented_with_deferred_ports	connected to SDL startup results 1/2; replace grouped ports in their owning modules without changing the verified ordering
0x00424EF0	DirectInput, Miles, DirectDraw and Bink target initialization	render;input;media;platform_sdl3;app	run_platform_backend_initialization;SdlSmokePlatformBackendPorts	implemented_with_deferred_ports	SDL window/renderer and RGB565 texture provide the modern display boundary; texture creation failure follows process bit 0x04 plus synchronous destroy; connect input/audio/video owners later without changing the three independent audio-driver queries
0x004251B0	ordered total resource shutdown	app	run_total_shutdown	implemented_with_deferred_ports	connect 42 ordered operations, four list drains and eight failure-reporting closes to owning modules without changing verified order
0x00425470	auxiliary byte-string input dialog with eight-byte edit limit but seven-byte submission copy	platform_sdl3;app	handle_auxiliary_text_command;auxiliary_text_close_action;execute_auxiliary_text_dialog_action	implemented_with_deferred_ports	implement SDL text-input/IME and warning UI in B3/B4; preserve raw byte truncation
0x00425B40	return EAX one	compat	legacy_true_result	implemented	compat.legacy_stubs passed with Windows LLVM
0x00430BE0	optional sign plus one-to-nine decimal digits; ordinary validation failure leaves output untouched; zero digits enters non-returning reverse-underflow fault	compat	parse_legacy_decimal_contract;parse_legacy_decimal_or_terminate	implemented	platform_adapted deterministic termination for zero-digit fault; connect callers in owning modules
0x0044A240	single-byte RET; preserves caller-visible work by doing nothing	compat	legacy_noop	implemented	compat.legacy_stubs passed with Windows LLVM
