path_id	address_range	path_kind	covered_values	lst_contract	status	notes
entry_activation	0x00427920..0x0042794E	entry_gate	all	one Talk-state pointer; inactive 0xFFFF context routes to return-one	platform_adapted	story-vm-full-validation-p3.md; typed status preserves inactive return-one semantics
initial_window_load	0x0042794F..0x00427B3F	window_load	all	load TalkN.dat entry into the 0x8000-byte window before fetch	platform_adapted	story-vm-full-validation-p3.md; checked resource owner preserves load and failure ordering
fetch_decode	0x00427B40..0x00427B88	fetch_decode	14-bit domain	raw u16 & 0x3FFF; preserve modifier bits in the raw word	assembly_exact	story-vm-full-validation-p3.md; raw aliases and all dispatch boundaries verified
main_dispatch	0x00427B7C..0x00427B88;0x0042D4F4..0x0042D67B	jump_table	1-98	98 LST dwords	assembly_exact	story-vm-full-validation-p3.md; 98-entry primary table regenerated from LST
secondary_dispatch	0x0042ADA4..0x0042ADB0;0x0042D67C..0x0042D7F3	jump_table	100-193	94 LST dwords	assembly_exact	story-vm-full-validation-p3.md; 94-entry secondary table regenerated from LST
default_invalid	0x0042D230..0x0042D24D	default	0,194-1023,1027-16382	MessageBeep/diagnostic; no automatic IP advance	platform_adapted	story-vm-default-invalid-0042d230.md; story-vm-common-join-audio-0042b0ae.md; story-vm-common-join-latch-0042d200.md
numeric_refinement	0x0042B0CD..0x0042B1BF;0x0042D7F4..0x0042D8A8	internal_switch	29-185	6-dword jump table plus 157-byte selector table	assembly_exact	story-vm-full-validation-p3.md; table extraction and all ten owning opcodes closed
flag_refinement	0x0042C567..0x0042C5D0;0x0042D8AC..0x0042D918	internal_switch	102-174	9-dword jump table plus 73-byte selector table	assembly_exact	story-vm-full-validation-p3.md; table extraction and all eight owning opcodes closed
window_transfers	handler-specific	window_transfer	15-17,21-24,32-33,35-36,41,87,110-111,126-127,129-130,138,161,163-168,184-187	31-row control-transfer inventory marks same-file or story-window reload/transfer	platform_adapted	story-vm-full-validation-p3.md; 31 transfer opcodes and zero-issue TALK CFG verified
common_join	0x0042B0AA..0x0042B0CC	continue_or_yield	all handlers	local continuation OR ESI; nonzero loops to 0x00427B40	platform_adapted	story-vm-common-join-audio-0042b0ae.md; story-vm-common-join-latch-0042d200.md
special_1024	0x0042D200..0x0042D218	special	1024	advance 2; local continue flag; same-call fetch	platform_adapted	story-vm-common-join-latch-0042d200.md
special_1025	0x0042D49F..0x0042D4B5	special	1025	advance 2; clear continuation; yield	assembly_exact	story-vm-common-join-latch-clear-0042d49f.md
special_1026	0x0042D1EA..0x0042D1FF	special	1026	advance 2; ESI continue; same-call fetch	assembly_exact	story-vm-common-join-continue-0042d1ea.md
talk_end_16383	0x0042D24E..0x0042D49E	special	16383	Talk cleanup and common join	platform_adapted	story-vm-talk-end-cleanup-0042d24e.md
fatal_return_zero	0x0042D4B6..0x0042D4D6	return	handler-selected	set close bit 0x04 and return zero	platform_adapted	story-vm-full-validation-p3.md; typed fatal status preserves close-bit side effect
yield_return_one	0x0042D4D7..0x0042D4F3	return	ordinary yield/inactive	AIL serve then return one; inactive skips AIL	platform_adapted	story-vm-full-validation-p3.md; typed yield/inactive results preserve AIL-service split
load_failure_return_zero	0x00427A18..0x00427A4B	return	initial load failure	send WM_DESTROY and return zero	platform_adapted	story-vm-full-validation-p3.md; checked load failure replaces WM_DESTROY with typed stop
