record_index	base_address	updater_call	physical_source	binding_global	env_file_offset	current_env_binding	logical_role	field_0x00	field_0x04	field_0x08	field_0x0C
0	0x004B7CB0	0x00405118	keyboard_bit_0x80	0x004B7384	0x0B	0x01 DIK_ESCAPE	cancel/escape binding	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
1	0x004B7CC0	0x00405137	keyboard_bit_0x80	0x004B7388	0x08	0x39 DIK_SPACE	primary confirm/action binding	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
2	0x004B7CD0	0x00405174	keyboard_bit_0x80	0x004B738C	0x0D	0x36 DIK_RSHIFT	configurable binding slot 2	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
3	0x004B7CE0	0x00405193	keyboard_bit_0x80	0x004B7390	0x06	0xCB DIK_LEFT	left binding	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
4	0x004B7CF0	0x004051B1	keyboard_bit_0x80	0x004B7394	0x04	0xC8 DIK_UP	up binding	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
5	0x004B7D00	0x004051D0	keyboard_bit_0x80	0x004B7398	0x07	0xCD DIK_RIGHT	right binding	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
6	0x004B7D10	0x004051EF	keyboard_bit_0x80	0x004B739C	0x05	0xD0 DIK_DOWN	down binding	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
7	0x004B7D20	0x00405269	keyboard_bit_0x80	0x004B73A0	0x12	0xC9 DIK_PRIOR/PageUp	page-up binding	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
8	0x004B7D30	0x0040524B	keyboard_bit_0x80	0x004B73A4	0x13	0xD1 DIK_NEXT/PageDown	page-down binding	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
9	0x004B7D40	0x0040520D	keyboard_bit_0x80	0x004B73A8	0x0A	0x9D DIK_RCONTROL	configurable binding slot 9	+0 current rapid-press multiplicity (clears on second released sample)	+4 release timestamp; zero while continuously held	+8 rapid-press chain stage 0..3; resets after >150 clock units released	+0x0C continuous raw-down sample count; zero on release
