stage	assembly_addresses	exact_contract	compatibility_consequence
font_definition	0x00435500-0x00435591	default face=細明體; CP950 bytes B2 D3 A9 FA C5 E9; height=-min(requested,64), width=0, weight=400, charset=0x88, quality=0	font pixels are supplied by the installed Windows GDI font implementation, not by an EXE bitmap
scratch_surface	0x00435240-0x004353D0,0x00437B60-0x00437BF4	always create a 64x64 DirectDraw offscreen surface; clear with native color zero; read lPitch and divide by two for 16-bit pixel stride	surface allocation and pitch are platform backend responsibilities, while the 64x64 and signed pitch rule are compatibility constants
gdi_raster	0x004352E0-0x004353B1,0x004368D0-0x004368F0	restore lost surface, clear black, acquire HDC, select HFONT, transparent background, white text; issue TextOutA for two spaces then the raw 1/2-byte character	call order and default GDI quality can change masks across OS/font versions
surface_copy	0x00436840-0x004368CD	lock surface; copy font_width*2 bytes for font_height rows from surface pitch into tightly packed 16-bit scratch; unlock	never infer tight surface stride
mask_pack	0x00436905-0x00436974	for each scratch word !=0 set an MSB-first bit (0x80..0x01); row stride=ceil(font_width/8); padding bits stay zero	GDI coverage intensity is discarded; any nonzero pixel becomes fully set
character_parse	0x00436B0A-0x00436B45	byte<0x80 -> one byte plus zero; byte>=0x80 -> blindly consume the next byte, including the NUL after a dangling final lead; key is the little-endian raw u16	this is a CP950-era byte protocol, not UTF-8 and not validated Big5
cache_lookup_insert	0x00436980-0x00436AC2,0x00436B45-0x00436E70	unsigned lookup; on miss insert/shift and clear slot, rasterize mask, fill background, run the selected writer, advance, then increment/cap count; hits skip rasterization and count mutation	preserve call order and the 1999->1998 clear-after-draw behavior; do not replace it with an unbounded map
background_fill	0x00436B65-0x00436BD7,0x00436CF7-0x00436D62,0x00436EA0-0x00436F66	unless color==0xFFFE, fill before glyph pixels; non-last width=FE0, last width=font_width-ASCII_reduction+2; vertical-empty rectangles still write the clamped first row	fill uses framebuffer bounds rather than glyph clip; a dangling final high lead consumes NUL and misses the last-character width branch
style_dispatch	0x00436BDB-0x00436E15	test selector bits in priority order 0x01,0x02,0x04,0x08,0x10; the first set bit wins; no low selector means no glyph-pixel writer	combined style values are not an enum and must retain priority behavior
advance	0x00436B32-0x00436B41,0x00436BFB-0x00436E29	ASCII advance=FE0-(FE0>>1); raw high-bit two-byte advance=FE0; advance is fixed and ignores actual GDI glyph metrics	layout determinism depends on integer byte classification, not shaped text metrics
