original_module	target_module	mapping_role	preserved_responsibility	public_inputs	public_outputs	owned_state	allowed_target_dependencies	forbidden_direct_dependencies	first_validation	implementation_order
none	compat	rewrite_only_neutral_contracts	fixed-width compatibility values, byte views, result codes and platform port types	primitive values	value types and port contracts	no mutable gameplay state		all game modules and SDL3	compile-time width/endian checks and u32 wrap vectors	1
runtime_platform	platform_sdl3	split_platform_adapter	window, events, device snapshots, clock/yield, audio device and framebuffer upload	host events and compatibility-core requests	normalized platform events and backend results	SDL handles and backend resources only	compat;SDL3	resource;input;render;media;assets;world;story;modes;battle;persistence	create SDL window and present an owned 640x480 16-bit empty framebuffer	1
runtime_platform	app	split_orchestrator	process lifecycle, frame gates, mutually exclusive mode dispatch, transitions and teardown order	platform events, clock samples and module step results	top-level requests, dispatch calls and exit result	frame gate, mode requests, battle active/request and lifecycle flags	compat;platform_sdl3;resource;input;render;media;assets;world;story;modes;battle;persistence		fake-port test of startup, accepted-frame priority, early returns and teardown order	1
resource_io	resource	direct_with_parser_extraction	path policy, file bytes, mapping-equivalent lifetime, common decompression and physical containers	path/asset identifiers and destination capacity	owned bytes, validated views and exact legacy error results	file objects, byte buffers and decompression workspace	compat	app;input;render;media;assets;world;story;modes;battle;persistence	LZO branch vectors plus one real TSW/LMF/save block	2
input_time_rng	input	direct	device snapshot normalization, DBCS text editing, frame clock rules, waits and two RNG streams	raw platform snapshot, legacy text messages, injected u32 milliseconds and seed samples	normalized input records, edited text state, frame acceptance and RNG values	input transition records, DBCS lead latch, previous/current time and both RNG states	compat;resource	app;render;media;assets;world;story;modes;battle;persistence	replayed key/mouse/text/time traces including >150, DBCS boundaries and u32 wrap boundaries	3
rendering	render	direct	owned 640x480 16-bit framebuffer, pixel formats, blitters, glyph masks, effects and present requests	asset/action views, draw commands and glyph-provider results	16-bit pixels, framebuffer hashes and platform present calls	framebuffer, pixel tables, glyph cache and presentation resources	compat	app;resource;input;media;assets;world;story;modes;battle;persistence	assembly-derived pixel vectors and empty-frame SDL upload	4
audio_video	media	direct_with_backend_split	music/sample/sequence state, Bink frame scheduling and per-frame reclamation	resource bytes, play/video requests and backend status	observable playback state, decoded video frames and completion events	live audio/video handles, queues and reference counts	compat;resource	app;input;render;assets;world;story;modes;battle;persistence	SND sample lifecycle state test and deterministic video-frame stub	5
asset_runtime	assets	direct	TSW/ACT/ANI/SND interpretation, caches and generic action update semantics	resource byte views, IDs, time samples and action parameters	typed asset views, cache leases and action state transitions	asset caches, selected streams and generic action records	compat;resource	app;input;render;media;world;story;modes;battle;persistence	real TSW/ACT index and one action-record transition	6
world_map	world	direct_with_upward_requests	map/session lifecycle, roles, movement, collision, pathing, interaction and party roots	input records, assets, owner APIs and fixed state	world frame state plus story/mode/battle requests	map cache policy, role records, movement state and party roots	compat;resource;input;render;media;assets	app;story;modes;battle;persistence	load one real map into typed runtime state and verify one fixed movement/collision unit	7
story_scene	story	direct_with_upward_requests	Talk VM, persistent story flags/variables, scene scheduling and asynchronous presentation intent	world owner API, assets, input/time and current instruction state	state mutations, presentation intent and mode/battle/exit requests	Talk state, global bitset/integer variables and scene action lists	compat;resource;input;render;media;assets;world	app;modes;battle;persistence	dispatch and execute the first assembly-reviewed opcode unit with a mocked world	8
special_modes	modes	rename_with_upward_requests	high-priority UI, menus, shop, numeric modes, text input and item operation semantics	input, render/media/assets and story/world owner APIs	mode transitions, persistence requests and item operations	mode state, optional text-input object and item-operation temporaries	compat;input;render;media;assets;story;world	app;battle;persistence	one high-priority mode step with fixed input and present timing	9
battle	battle	direct_with_upward_results	battle construction, VM/frame state, AI/numeric behavior and four-value result contract	assets, input, owner APIs and fixed RNG stream	battle presentation/state changes and result 0/1/2/3	actors, battle lists, VM cursor, temporary and outward result	compat;resource;input;render;media;assets;story;world;modes	app;persistence	battle entry plus one instruction step and four-value return harness	10
persistence	persistence	direct_transport_only	configuration, slot scan, physical save container and owner-mediated state import/export	explicit snapshots/import APIs from gameplay owners	slot metadata, exact bytes and load/save result	configuration, slot metadata and I/O transaction buffers	compat;resource;story;world;modes;battle	app;input;render;media;assets	all existing save containers parse and one fixed owner snapshot round-trips	11
