subsystem	p2_completion_scope	confirmed_manual_contracts	identified_assembly_entries	pending_manual_abi_contracts	coverage_state	next_review_batch	evidence
startup_and_platform	process entry;WinMain;WndProc;single-frame dispatch;display lifecycle	0x0048A740;0x00409EC0;0x0040A0D0;0x0040A570;0x0040AB50;0x00437AE0;0x00437DF0	0x00424B90;0x00424910;0x004251B0	0x00424B90	covered_top_boundary	initialization aggregate remains a lower-priority boundary check	evidence/critical-abi-contracts.md;evidence/top-level-direct-call-coverage.md
resources	file object boundary;common decompression;TSW and ACT lookup entries	0x004399E0;0x004380B0;0x004315D0;0x00432A50	0x004380B0;0x0040F040;0x004315D0;0x00432A50		covered_top_boundary	file open and both runtime lookup boundaries closed;container details remain P3	evidence/resource-entry-abi.md;evidence/common-decompressor-004399e0.md;evidence/tsw-archive-format.md;evidence/act-action-stream-format.md
rendering	mode render dispatch;world render/present;surface wrapper;pause;battle;video present	0x00406E30;0x00411FA0;0x00437AE0;0x00437DF0;0x00453200;0x00484950;0x004120B0	0x004120B0;0x00416D30;0x00423400;0x00437570		covered_top_boundary_deep_primitives_deferred	world render and all branch present entries closed;pixel primitives remain P4	evidence/map-entry-abi.md;evidence/presentation-lifecycle.md;evidence/critical-abi-contracts.md
input	frame normalization;DirectInput acquisition;world controls;mouse interaction;text and IME filter	0x00402F80;0x00427300;0x004050E0;0x00436FB0;0x004372B0	0x004050E0;0x00436FB0;0x004372B0;0x00438B50		covered_top_boundary	device init read and normalization boundaries closed;text and IME details remain platform work	evidence/input-entry-abi.md;evidence/top-level-direct-call-coverage.md;evidence/world-player-control-00402f80.md;evidence/world-interaction-00427300.md
story_and_scene	top-level VM state pointer;yield return;action update	0x00427920;0x004321E0	0x004154A0;0x004158C0		covered_top_boundary	Ani decoder details remain P5 and do not block the top ABI	story-vm-entry.md;evidence/action-subrecord-004321e0.md
map_and_world	map block load;cache load/build;world render and update entries	0x00402F80;0x00427300;0x004120B0;0x00425BE0;0x00426840	0x004120B0;0x00425BE0;0x00426840		covered_top_boundary	world render LMF and CM boundaries closed;map fields remain P6	evidence/map-entry-abi.md;subsystem-map.md;evidence/world-player-control-00402f80.md
battle	battle setup;frame core;opcode frame entry and numeric return propagation	0x00451B10;0x00453200;0x00469D20	0x00451B10;0x00453200;0x00469D20		covered_top_boundary	opcode business meanings remain P7 and do not block top ABI	evidence/battle-setup-00451b10.md;battle-entry.md
audio	world coordinator;Miles object maintenance;device init;SND open lookup and playback	0x0040CDD0;0x0040CF10;0x004859B0;0x004862B0;0x00486490;0x00485CE0	0x004859B0;0x004862B0;0x00486490;0x00485CE0		covered_top_boundary	Miles initialization and SND open lookup playback boundaries closed;codec and mixing replacement remain implementation-platform work	evidence/audio-video-entry-abi.md;evidence/audio-frame-0040cdd0.md;evidence/snd-archive-format.md
video	Bink open/decode/wait/close and frame present	0x00484950;0x00484550;0x004846F0	0x00484550;0x004846F0;0x00484920		covered_top_boundary	Bink backend configuration wait and frame-present boundaries closed;decoder replacement remains implementation-platform work	evidence/audio-video-entry-abi.md;evidence/presentation-lifecycle.md;subsystem-map.md
save	save preview read;menu/read/write aggregate;slot scan and newest-slot selection	0x00409600;0x004070A0	0x00409600;0x004070A0;0x00409C10;0x00409A10		covered_top_boundary	preview and aggregate boundaries closed;disk fields remain P8	evidence/save-entry-abi.md;subsystem-map.md;evidence/top-level-direct-call-coverage.md
